,generations,privacy_loss
0," The Palestinian Authority officially joined the International Criminal Court (ICC), giving the court jurisdiction over alleged crimes in Palestinian territories. This move allows the ICC to investigate alleged war crimes committed by both Israelis and Palestinians since 2014. The ICC will conduct a preliminary",0
1," A stray dog named Theia, a white and black bully breed mix, was hit by a car, whacked on the head with a hammer, and then buried in a field. However, she miraculously survived for four days, only to be",0
2," The Iranian foreign minister, Mohammad Javad Zarif, is known for his diplomatic efforts to secure a nuclear deal with the United States and the international community. However, there are some lesser-known facts about Zarif, including his tweet on the Jewish New",0
3," After being monitored for three weeks at an Omaha hospital, five American healthcare workers who were exposed to Ebola in Sierra Leone have been released. None of the five developed Ebola, and they are all expected to recover from their ordeal. The healthcare workers had been",0
4," A student at Duke University has admitted to hanging a noose made of rope from a tree near a student union, triggering outrage and concern on campus. The student has been removed from campus and will face student conduct review. The incident is being investigated by",0
5," Trey Moses, a star basketball player at Eastern High School in Louisville, Kentucky, asked Ellie Meredith, a freshman with Down syndrome, to be his prom date. Ellie is part of the Best Buddies program, which connects students with and without developmental disabilities",0
6," Amnesty International's annual report on the death penalty reveals that governments around the world are using the threat of terrorism to advance executions. The report highlights that 607 people were executed in 2014, a decrease of almost 22% compared to the previous",0
7," Andrew Getty, 47-year-old grandson of oil tycoon J. Paul Getty, has died of natural causes. The Los Angeles Police Department has concluded that there was no foul play involved in his death and that he had several health issues. Getty was",0
8," Tropical storm Maysak will hit the Philippines, bringing strong winds and heavy rainfall. The Philippine national weather service has issued warnings of flash floods and landslides, and authorities have taken precautions to evacuate people and restrict outdoor activities. The storm is expected",0
9," This article reports that Bob Barker, the former host of ""The Price Is Right"" (35 years, starting from 1972 to 2007), made a surprise return to the show on April 1, 20015. Barker, who",0
10," A 19-year-old man named Yahya Rashid has been charged with terror offenses after he was arrested at Luton airport in London upon his return from Turkey. Rashid, a UK national, has been charged with engaging in conduct in preparation",0
11," Paul Walker, the late actor from the ""Fast and Furious"" film series, will be remembered in the upcoming film ""Furious 7"", which premieres on Friday. Walker died in November 2013 at the age of 40 after a",0
12," Anne Frank and her sister Margot died at least a month earlier than previously thought, according to new research. The researchers re-examined archives and testimonies of survivors, concluding that the sisters probably died in December 1944 or January 194",0
13," Indiana Governor Mike Pence has been under fire for signing a religious freedom law that allows businesses to discriminate against LGBT individuals. The law has sparked a national debate and has been criticized by many, including President Barack Obama and major corporations. The article notes that Pence",0
14," The article discusses famous people who have performed the American national anthem, with some receiving praise and others being criticized for their performances. The article highlights several examples, including Vince Neil of Mötley Crüe, who received backlash for his performance at an",0
15," Walmart, the massive retail company, has emerged as a bellwether for shifting public opinion on hot-button political issues that divide conservatives and liberals. The company's opposition to a religious freedom law in its home state of Arkansas, which would have allowed businesses",0
16," In an annual review of the death penalty worldwide, Amnesty International notes a disturbing trend of governments using the death penalty as a knee-jerk reaction to crime and terrorism. The report highlights countries such as Pakistan, Iran, and Iraq which have executed people for",0
17, The French prosecutor involved in the investigation of Germanwings Flight 9525 has denied that any video footage from on board the plane has been recovered. The claims of a cell phone video showing the final seconds of the flight have been made by two magazines,0
18," Rev. Robert H. Schuller, a prominent California televangelist and founder of the ""Hour of Power"" television ministry, has died at the age of 88. Schuller was known for his ""possibility thinking"" philosophy,",0
19," Michele Bachmann, a former Minnesota Representative, compared President Obama to the co-pilot of the Germanwings flight that crashed in the French Alps, killing 149 people. She made the comparison on her Facebook page, stating that Obama is ""a",0
20," A 37-year-old man, Louis Jordan, has been missing at sea for 66 days after his sailboat capsized during a storm. He was rescued by the crew of the Houston Express, a 1,000-foot long container ship,",0
21," The United States and its negotiating partners have reached a framework agreement with Iran that limits Iran's nuclear program in such a way as to effectively block it from building a nuclear weapon. Some opponents of the agreement, including Israeli Prime Minister Benjamin Netanyahu and some members",0
22," The ongoing drought in California is affecting the rest of the United States, as the state is a major source of fruits and vegetables, with nearly two-thirds of the country's fruits and nuts coming from the state. The drought is causing food prices to rise",0
23," An FBI complaint has charged Keonna Thomas, a 30-year-old woman from Philadelphia, with attempting to travel to Turkey to join ISIS. Thomas, also known as ""Young Lioness"" and ""Fatayat Al Khilafah"", sent",0
24,"Iran, the country with the biggest population in the Middle East, has a very strict dress code for both men and women. The dress code is based on the country's Islamic laws. In recent years, there have been some restrictions on the way women",0
25," The rise of online activity has become a means for dissident voices to express themselves in authoritarian countries. However, this freedom comes with risks, including legal and deadly consequences. In Singapore, bloggers who have been critical of the government have been arrested and charged",0
26," Singer Avril Lavigne has revealed that she was bedridden for five months after contracting Lyme disease, which was misdiagnosed for months. She believes she was bitten by a tick last spring and experienced symptoms such as lightheadedness,",0
27," The article is a summary of the best videos of the week on CNN. It includes various stories, including a trip to a former heavyweight champ's gaudy, abandoned mansion, a dramatic interview with a famed spiritual leader, and a review of the",0
28," Israeli Prime Minister Benjamin Netanyahu has criticized the recently announced Iran nuclear deal, saying it is a ""bad deal"" and criticizing the six world powers that struck the deal. Netanyahu has suggested that Israel should stand firm and ratchet up the pressure on Iran in",0
29," Memories Pizza, a small family-owned pizzeria in Walkerton, Indiana, has become the center of a controversy after its owners said they would refuse to cater a same-sex wedding, citing their religious beliefs. The incident has sparked a heated debate over",0
30, Police in the Indian city of Malegaon are requiring residents to take photographs of their cattle and submit it to the police as part of a new law to prevent cow slaughter. The law was enacted after a recent case of cow slaughter in the city.,0
31," The article describes three men, Louis Jordan, Jose Salvador Alvarenga, and Ron Ingraham, who were all stranded at sea for extended periods of time with no technology or rescue, and yet managed to survive and be rescued. Jordan,",0
32," The Large Hadron Collider, the world's biggest and most powerful physics experiment, has restarted after a two-year shutdown. The machine, located in a tunnel between Lake Geneva and the Jura mountain range, generates up to 600 million particles per second",0
33," An FBI agent was injured in a car accident during an attempted arrest of a suspect in a string of commercial robberies. The suspect, identified as Kevone Charleston, was suspected of involvement in 32 commercial robberies dating back to November 201",0
34," This morning, sky watchers in western North America have the opportunity to watch a nearly five-minute total lunar eclipse. The eclipse will be visible across the nation, with the best view on the West Coast, and parts of South America, India, China and",0
35," The terrorist group Al-Shabaab has claimed responsibility for an attack on Garissa University College in eastern Kenya, which has left many people dead and others taken hostage. The attack is the latest in a series of attacks by the group, which is linked",0
36," The article discusses Easter, a Christian holiday that commemorates the resurrection of Jesus Christ. The holiday has several interesting quirks, including its varying date, the use of astronomical events to determine its date, and the inclusion of non-Christian symbols like the Easter",0
37," The National Collegiate Athletic Association (NCAA) has denied any legal responsibility to ensure that student-athletes receive an education, despite its claims that education is a top priority. The NCAA has taken this stance in response to a lawsuit filed by former",0
38," A 17-year-old girl in Connecticut, who was diagnosed with Hodgkin lymphoma, was ordered to undergo chemotherapy to treat her illness. She ran away from treatment after two days, but was eventually taken into temporary custody by the state. The girl",0
39," Mark Ronson's ""Uptown Funk!"" featuring Bruno Mars has become the longest-leading Billboard Hot 100 song of the 2010s, ruling the chart for 13 weeks. Additionally, it is just the 10th single in the",0
40," The temperature in Antarctica, widely considered the coldest and driest continent on Earth, reached a record high of 15.5 degrees Celsius (59.9 degrees Fahrenheit) on March 24, possibly the highest ever recorded on the continent. If",0
41," The United States has been experiencing controversy about the religious freedom laws, particularly in Indiana. Many states have religious freedom restoration acts that aim to protect people's exercise of religion. However, these laws have been criticized for allowing discrimination against certain groups, such as",0
42," Robert Lewis Burns Jr, the original drummer of the Southern rock band Lynyrd Skynyrd, passed away on Friday night in a car crash in Cartersville, Georgia. He was 64 years old. Burns was part of the band's",0
43," Kim Ki-Jong, the man accused of stabbing US Ambassador Mark Lippert in Seoul, has been charged with attempted murder, assaulting a foreign envoy, and business obstruction. The charges were filed in court on Wednesday and Kim's trial must begin within",0
44," Two women, Seneng Mujiasih and Sumarti Ningsih, were found dead in a Hong Kong apartment in November 2014. British citizen Rurik Jutting, 29, is charged with their murders. The victims were both",0
